date;text;					
2017-11-15 02:38;"Going on board my @easyJet flight in @EdiAirport this afternoon	 with my suitable cabin luggage	 was an extremely upsetting experience. Saying that #EasyJet staff poorly managed the situation would be an understatement. They were rude and offensive. #NeverAgain pic.twitter.com/6PBfKmL9Un"			
2017-11-13 10:00;"#EASYJET #FLIGHT + #HOTEL #CANARYISLAND #HOLIDAYS { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=https%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fsavings%2F … } #traveltuesday #beachthursday #ttot pic.twitter.com/dQYudjCz06"					
2017-11-13 04:45;"Gender gap pay battle unleashes at Easy Jet following appointment of new chief executive http:// dlvr.it/Q0ch7y #lowcost #easyjet"					
2017-11-13 04:04;"Volunteering to put your hand luggage in the hold to avoid delay	 then waiting a lifetime to get it back at the other end #easyJet #Luton #neveragain"				
2017-11-13 03:29;"Gender gap pay battle at #EasyJet #paygap #gendergap http://www. thisismoney.co.uk/money/news/art icle-5075745/Gender-gap-pay-battle-Easy-Jet.html …"					
2017-11-13 03:12;"Word is that the #carrot is definitely gone now - @easyjet #A320 G-EZUI http://www. joelvogt.net/aviation/spott erbrowser/imgview.php?id=13748 … #avgeek #aviation #orange #special #design #travel #generationeasyjet #Easyjet #planespotting pic.twitter.com/bcEXE5xExR"					
2017-11-13 03:06;"#GarstonCostal #Liverpool #Kestrel #Easyjet pic.twitter.com/retaolY5iQ"					
2017-11-13 01:54;"My latest blog post……“Plenty of frills with EasyJet” Click on bio for link #ben2b40 #EasyJet #travel #flying #nofr … http:// ift.tt/2zRGUGC pic.twitter.com/c6ae7eLNJX"					
2017-11-13 01:53;"Io ho volato solo con loro e #easyjet (dove ho trovato personale più cordiale) e dico: per fortuna che ci sono!"					
2017-11-13 01:39;"@easyJet G-EZEV arriving at @EMA_Airport 05/11/17 #easyjet #airbus #A319 @A319fanpage #avgeek #potn #aviation #photography #ema #egnx #emaairport pic.twitter.com/fWQp8IUTj3"					
2017-11-13 01:32;"My latest blog post………“Plenty of frills with EasyJet” http://www. amjcomms.com/2017/11/12/ple nty-of-frills-with-easyjet/ … #ben2b40 #EasyJet #travel #flying #nofrills #customerservice pic.twitter.com/SVAsJlfyDf"					
2017-11-13 00:14;"No one else has duty-free bags... Are you sure I am allowed all this booze on my flight!? #DutyFree #easyjet"					
2017-11-13 00:00;"That's the next one booked #easyjet #frequentflyer #holiday #break #villa #playaflamenca … https://www. instagram.com/p/BbaGbYln6nV/"					
2017-11-12 23:49;"Thanks. Perhaps an accurate description of Easyjet's use of 3rd party damaged luggage services on your own website would help explain it better for all of your customers. #easyjet"					
2017-11-12 23:27;"Vol retardé de 1h20 #geneve #easyjet"					
2017-11-12 23:17;"Mal eben die #Kfz Versicherung abgespeckt und gewechselt. Die Ersparnis sichert mir schon mal 1 #IronMaiden Ticket inkl. #easyjet - Flug."					
2017-11-12 22:17;"A #TipToe #Touchdown for this @easyjet @airbus #A319 at @BaselAirport http://www. joelvogt.net/aviation/spott erbrowser/imgview.php?id=15319 … #avgeek #aviation #planespotting #travel #voyage #easyjet #orange #Basel pic.twitter.com/SV48QocgFG"					
2017-11-12 22:00;"#Easyjet #7Nights #Flight + #Hotel #BeachDeals { http:// ift.tt/2r643gR } from #London #LutonAirport #londonislovinit pic.twitter.com/MQVWFD9xII"					
2017-11-12 21:45;"#EASYJET #FLIGHT + #HOTEL #BEACHHOLIDAY #SALE { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fbeach-holidays%2F%3Futm_source%3Dawin_uk%26utm_medium%3DAfiliacion%26utm_campaign%3Deasterpromo%26awc%3D6296_1492012547_7625ba2b0326204c27646f8c6fa4edf4 … } with #DISCOUNTCODE #londonislovinit pic.twitter.com/YXodGRlCSg"					
2017-11-12 19:08;"#Easyjet - dreadful service ! One check in person for all flights from Geneva! Terrible customer service @easyJet pic.twitter.com/oyqSTPyvix"					
2017-11-12 19:05;"#Easyjet - dreadful service ! One check in person for all flights from Geneva! Terrible customer service pic.twitter.com/wTRuVMlXn3"					
2017-11-12 17:43;"Which Airline should have a Poppy Aircraft for #RemebranceDay 2018 @British_Airways @TCAirlinesUK @easyJet #britishairways #thomascook #Easyjet #aviation #avgeek"					
2017-11-12 17:40;"Seeing as my suggestion for another @British_Airways Poppy Aircraft has had a number of likes maybe @TCAirlinesUK & @easyJet could do the same for 2018 #RemembranceDay #ArmisticeDay #Thomascook #Easyjet #Airbus #Boeing #Aircraft #avgeek #aviation"					
2017-11-12 17:33;"Deutsche Bank AG Raises easyJet plc (LON:EZJ) Price Target to GBX 1460 http:// dlvr.it/Q0Xvb1 #lowcost #easyjet"					
2017-11-12 17:14;"El resultado? Retraso.Sin metro al llegar. Taxi y a jorobarse. Gracias #easyjet #lowlowcost"					
2017-11-12 16:32;"CACHORRITA para adoptar en toda España llama e informate. #ULTIMAHORA #Lastminute #vueling #easyjet #ryanair #alibaba #amazon #amor #Parejas https:// twitter.com/DogsRescueC/st atus/929337911182528513 …"					
2017-11-12 16:23;"@easyJet ANNOUNCES APPOINTMENT OF JOHAN LUNDGREN AS CHIEF EXECUTIVE OFFICER (CEO) http:// bit.ly/2zQaTyR #Easyjet #Johanlundgren #CEO #Aviation #Europe #Avimeter pic.twitter.com/zXIiZQ2Thp"					
2017-11-12 16:02;"Thanks. So what is http:// easyjet.airlineluggageclaims.com with Easyjet branding then? An unofficial site? A scam? #easyjet"					
2017-11-12 16:00;"#Easyjet #Flight + #Hotel 5* #Luxury #BeachDeals { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fluxury-5-star-deals … } with #DISCOUNTCODE #Londonislovinit pic.twitter.com/E5ClACBWdU"					
2017-11-12 15:00;"#EasyJet #7Nights #Flight + #Hotel 4* #BeachDeals from #London { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2F4-star-deals … …} #CANNES70 #LONDONislovinit pic.twitter.com/mkJKSflTty"					
2017-11-12 13:59;"A titre perso	 les soit-disant low costs me répugnent donc je préfère les voir en difficulté #easyjet en premier lieu. Ça ne m'étonne pas que le terrain de jeu ultra liberal de #ue permissif à tt abus sur salariés et passagers leur conviennent..."				
2017-11-12 13:31;"#EasyJet names ex-TUI tourism veteran Lundgren as new chief http:// emirates-business.ae/?p=102995 #Emirates_Business"					
2017-11-12 11:29;"Boarded. Valencia here we come #easyjet #gatwicknorthterminal #valenciabound #thenontobeni https://www. instagram.com/p/BbYwgqQg6pB/"					
2017-11-12 10:00;"#EASYJET #FLIGHT + #HOTEL #CANARYISLAND #HOLIDAYS { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=https%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fsavings%2F … } #traveltuesday #beachthursday #ttot pic.twitter.com/dQYudjCz06"					
2017-11-12 09:07;"Former #TUI executive takes #EasyJet top job http://www. travel-gazette.com/2017/11/former -tui-executive-takes-easyjet-top-job/ … #travel #tourism #aviation"					
2017-11-12 06:37;"EasyJet picks ex-TUI deputy Lundgren as new chief executive http:// dlvr.it/Q0Ttrg #lowcost #easyjet"					
2017-11-12 04:31;"Better sleep #sleeprules #workout #easyjet Getting used to these. pic.twitter.com/ZcHDsdWi41"					
2017-11-12 02:05;"@easyJet Damaged luggage claims - your website refers to http:// damagedluggage.com but your claim form is at http:// easyjet.airlineluggageclaims.com - so which one is it then? #easyjet pic.twitter.com/3v2H8IxsQ6"					
2017-11-12 00:54;"Got a new one! #easyjet this time!! http:// youtu.be/DHEZphIZitg?a"					
2017-11-12 00:48;"yaaaasssss all to myself #easyjet #home #belfast see you soon #glasgow https://www. instagram.com/p/BbXnFQ4FQ4_/"					
2017-11-11 23:27;"on a first time flight #EasyJet London to Glasgow to their #BookSigning Emilias parents with Alessia #freezing pic.twitter.com/8vFrX03gyl"					
2017-11-11 22:49;"That’s massively overpriced! Although Ryanair’s terrible and I wouldn’t fly with them again. Rude never on time and don’t make you feel relaxed and comfortable.. #EasyJet all the way!"					
2017-11-11 22:00;"#Easyjet #7Nights #Flight + #Hotel #BeachDeals { http:// ift.tt/2r643gR } from #London #LutonAirport #londonislovinit pic.twitter.com/MQVWFD9xII"					
2017-11-11 21:45;"#EASYJET #FLIGHT + #HOTEL #BEACHHOLIDAY #SALE { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fbeach-holidays%2F%3Futm_source%3Dawin_uk%26utm_medium%3DAfiliacion%26utm_campaign%3Deasterpromo%26awc%3D6296_1492012547_7625ba2b0326204c27646f8c6fa4edf4 … } with #DISCOUNTCODE #londonislovinit pic.twitter.com/YXodGRlCSg"					
2017-11-11 20:45;"Weekend break Lille #easyjet Faro-Lille #shoppingtime @Lille	… https://www. instagram.com/p/BbXLT4DDyxsJ i7fyRStLSfSzDPgk0j6n4PW98s0/ …"				
2017-11-11 20:07;"Two minute silence today at 38000 feet while flying over Dresden. #easyjet"					
2017-11-11 19:50;"EasyJet Hires New Chief From Rival Tui Weeks Ahead of McCall's Exit http:// dlvr.it/Q0QV0J #lowcost #easyjet"					
2017-11-11 17:30;"#easyJet flights to finally offer free movies and TV shows: http:// bit.ly/easyjet-airtime pic.twitter.com/amypCGZGQk"					
2017-11-11 17:28;"#girlstrip #milano #italy #easyjet #fromwhereistand #happy #enjoy #duomo #instagram … https://www. instagram.com/p/BbW0wuyFxsq/"					
2017-11-11 17:09;"#easyjet @easyjet eerie pic on our flight back to Luton from Alicante this morning pic.twitter.com/eCfl8DE5Ea"					
2017-11-11 16:15;"Par contre	 le Speedy Boarding afin de passer devant tout le monde a l'embarquement	 ça j'aime bien. #EasyJet"			
2017-11-11 16:11;"@easyJet il n’y a que #easyjet qui puisse se faire de l’ombre à lui même ! pic.twitter.com/B8ErboSIH4"					
2017-11-11 16:01;"#EasyJet 	 c'est la compagnie qui me ressemble le plus.. jamais à l'heure."				
2017-11-11 16:00;"#Easyjet #Flight + #Hotel 5* #Luxury #BeachDeals { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fluxury-5-star-deals … } with #DISCOUNTCODE #Londonislovinit pic.twitter.com/E5ClACBWdU"					
2017-11-11 15:41;"EasyJet Cabin Crew Requirements #cabincrew #easyjet #cabincrewjobs http:// dld.bz/gr2a9"					
2017-11-11 15:40;"#easyjet https:// twitter.com/WoolandWaterLt d/status/929311580482949120 …"					
2017-11-11 15:37;"If there is no seat for me I will be put on the next available flight which may departing from another airport! How is that allowed to happen!? How does @easyjet take 2 payments & not allocate me a seat home!? #easyjet #londonlutonairport 2/2"					
2017-11-11 15:24;"Meet the Swede who's taking over #EasyJet https://www. thelocal.se/20171110/meet- the-swede-whos-taking-over-easyjet … via @TheLocalSweden"					
